Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Monteon, Michael P.","HILA 115 - Latin American City, A History (A)",FA12,23,7,60.0 %,80.0 %,3.7,B+ (3.40),B+ (3.46)
"Stephenson, Paul Anthony","HIEU 104B - Byzantine Empire, 7th-11th c. (A)",SP12,34,16,86.7 %,93.3 %,5.63,A- (3.73),B+ (3.46)
"Biess, Frank Peter",HITO 140 - History of Emotions (A),WI11,23,14,85.7 %,92.9 %,8.21,B+ (3.58),B+ (3.46)
"Owzar, Armin",HIEU 171 - Special Tops/20th Century Euro (A),WI10,25,10,100.0 %,100.0 %,5.5,A- (3.70),B+ (3.46)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA09,119,84,98.8 %,100.0 %,3.4,B+ (3.68),B+ (3.46)
"Hertz, Deborah",HIEU 159 - Three Centuries of Zionism (A),FA08,27,15,100.0 %,100.0 %,4.96,B (3.29),B+ (3.46)
"Truant, Cynthia M",HIEU 147 - Women&Gender/Early Mod Europe (A),WI08,105,78,90.9 %,90.9 %,3.54,B+ (3.68),B+ (3.46)
"Jordan, Ryan P",HIUS 137 - Slavery/Freedom/U.S.1775-1877 (A),WI08,47,42,92.7 %,95.1 %,4.02,B+ (3.60),B+ (3.46)
"Sine, Elizabeth E",HIUS 111 - America & World/WWI-Present (A),SP16,31,25,76.0 %,88.0 %,4.98,B+ (3.53),B+ (3.47)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),FA14,59,27,88.9 %,77.8 %,5.46,B+ (3.62),B+ (3.47)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),SP14,61,26,84.0 %,88.0 %,6.14,A- (3.72),B+ (3.47)
"Hertz, Deborah",HIEU 132 - Germany From Luther to Bismark (A),SP14,30,10,60.0 %,70.0 %,4.3,B+ (3.50),B+ (3.47)
"Hillman, Susanne",HIEU 171 - Topic/Twentieth Century Europe (A),WI14,12,5,80.0 %,100.0 %,6.9,B+ (3.60),B+ (3.47)
"Gere, Catherina M.",HILD 30 - History of Public Health (A),SP12,140,53,84.9 %,98.1 %,3.59,A- (3.70),B+ (3.47)
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S111,26,5,100.0 %,100.0 %,4.1,A (4.00),B+ (3.47)
"Edelman, Robert S.",HIEU 134 - Formatn Russian Emp 800-1855 (A),WI11,53,21,76.2 %,76.2 %,5.26,B+ (3.63),B+ (3.47)
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),FA09,63,31,93.3 %,100.0 %,3.9,B+ (3.64),B+ (3.47)
"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),SP08,63,42,100.0 %,100.0 %,3.64,B+ (3.63),B+ (3.47)
"Meade, Everard",HILA 132 - History of Contemporary Mexico (A),SP08,45,21,100.0 %,100.0 %,4.69,B+ (3.47),B+ (3.47)
"Sampaio, Gabriela",HILA 121 - History Of Brazil (A),FA07,76,25,95.8 %,95.8 %,4.98,B+ (3.55),B+ (3.47)
"Klein, Rachel",HILD 2B - United States History (A),WI17,186,92,90.9 %,97.7 %,4.27,B+ (3.47),B+ (3.48)
"Provence, Michael",HINE 119 - U.S. Mid-East Policy-Post WWII (A),WI17,58,21,100.0 %,100.0 %,5.34,B+ (3.56),B+ (3.48)
"Gere, Catherina M.",HISC 116 - History of Bioethics (A),FA16,109,53,98.0 %,98.0 %,4.34,A- (3.78),B+ (3.48)
"Wishon, Mark T",HILD 2A - United States History (A),FA15,189,96,84.9 %,83.9 %,3.91,B+ (3.42),B+ (3.48)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA15,27,9,77.8 %,66.7 %,2.28,B+ (3.57),B+ (3.48)
"Hanna, Mark G.",HILD 2A - United States History (A),FA14,186,103,90.7 %,97.7 %,4.59,B+ (3.44),B+ (3.48)
"Avitia, Mayra Alejandra",HILD 7C - Race & Ethnicity/United States (A),S114,47,15,66.7 %,53.3 %,3.7,B+ (3.60),B+ (3.48)
"Strasser, Ulrike",HIEU 147 - Women&Gender/Early Mod Europe (A),WI14,28,15,100.0 %,100.0 %,4.93,A- (3.86),B+ (3.48)
"Kim, Gloria",HILD 7B - Race & Ethnicity/United States (A),WI14,382,193,86.8 %,87.4 %,4.05,B+ (3.55),B+ (3.48)
"Cahill, Suzanne",HIEA 135 - Thought&Reli China: Buddhism (A),S112,26,7,85.7 %,85.7 %,4.5,A- (3.71),B+ (3.48)
"Hertz, Deborah",HITO 105 - Jewish Modernity/1648 - 1948 (A),WI12,22,13,83.3 %,83.3 %,7.17,B+ (3.55),B+ (3.48)
"Truant, Cynthia M",HIEU 130 - Europe/18th Century(1688-1789) (A),FA11,103,38,52.6 %,57.9 %,5.61,B+ (3.53),B+ (3.48)
"Meade, Everard",HITO 119 - Human Rights I: Hist. & Theory (A),WI11,36,22,100.0 %,85.7 %,4.98,A- (3.76),B+ (3.48)
"Plant, Rebecca Jo","HIUS 157 - American Women,Womanhood1870-P (A)",WI11,73,35,91.4 %,94.3 %,5.3,B+ (3.66),B+ (3.48)
"Herbst, Matthew",HIEU 104 - Byzantine Empire (A),WI10,116,50,92.0 %,95.9 %,5.54,B+ (3.32),B+ (3.48)
"Meade, Everard",HMNR 100 - Human Rights I: Hist. & Theory (A),WI10,56,18,72.2 %,72.2 %,4.94,N/A,B+ (3.48)
"Gere, Catherina M.",HISC 115 - History Modern Medicine (A),FA08,70,48,97.8 %,100.0 %,3.22,B+ (3.54),B+ (3.48)
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),FA07,65,52,98.0 %,92.2 %,3.68,B+ (3.51),B+ (3.48)
"Hertz, Deborah",HIEU 158 - Why Hitler? How Auschwitz? (B),WI17,83,72,90.3 %,86.1 %,4.39,B+ (3.45),B+ (3.49)
"Graham, Jessica Lynn",HILD 7A - Race & Ethnicity/United States (A),FA16,365,166,88.1 %,95.0 %,4.49,B+ (3.40),B+ (3.49)
"Edington, Claire Ellen",HILD 30 - History of Public Health (A),WI16,139,80,93.5 %,94.8 %,5.05,B+ (3.59),B+ (3.49)
"Molina, Natalia Margarita",HILD 7C - Race & Ethnicity/United States (A),SP13,209,75,77.3 %,78.7 %,4.1,B+ (3.52),B+ (3.49)
"Widener, Daniel",HIEU 127 - Sport in the Modern World (A),S112,22,3,100.0 %,100.0 %,5.17,A (4.00),B+ (3.49)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),WI12,146,71,92.9 %,95.6 %,5.3,B+ (3.67),B+ (3.49)
"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),FA10,42,20,94.7 %,94.7 %,5.8,B+ (3.69),B+ (3.49)
"Jordan, Ryan P",HIUS 107 - The Early Republic (A),SP10,50,19,94.7 %,100.0 %,3.87,B+ (3.69),B+ (3.49)
"Truant, Cynthia M",HIEU 131 - French Revolution 1789-1814 (A),WI10,111,48,87.2 %,76.6 %,4.83,B+ (3.51),B+ (3.49)
"Patterson, Patrick H.",HITO 119 - Human Rights I: Hist. & Theory (A),WI14,12,6,100.0 %,100.0 %,9.17,B+ (3.67),B+ (3.50)
"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (A),FA12,372,167,90.1 %,98.8 %,3.86,B+ (3.54),B+ (3.50)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",FA12,43,14,76.9 %,100.0 %,4,B (3.20),B+ (3.50)
"Vandevelde, Kenneth Joseph",HIUS 152B - Constitutnl Hist/US after 1865 (A),FA12,37,23,100.0 %,100.0 %,5.07,B+ (3.53),B+ (3.50)
"Gere, Catherina M.",HILD 30 - History of Public Health (A),SP11,99,38,97.4 %,97.4 %,4.29,B+ (3.69),B+ (3.50)
"Edington, Claire Ellen",HILD 30 - History of Public Health (A),WI17,155,69,93.9 %,97.0 %,5.55,B+ (3.58),B+ (3.51)
"Vitz, Matthew",HILA 132 - Modern Mexico (A),SP16,63,34,96.9 %,96.9 %,4.19,B+ (3.44),B+ (3.51)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),SP16,308,117,88.1 %,87.2 %,3.75,B+ (3.40),B+ (3.51)
"Provence, Michael",HINE 116 - Mid East/Age of Euro Empires (A),WI13,32,12,75.0 %,83.3 %,3.5,A- (3.80),B+ (3.51)
"Hertz, Deborah",HIEU 159 - Three Centuries of Zionism (A),SP11,45,17,94.1 %,94.1 %,7.91,A- (3.75),B+ (3.51)
"Propp, William Henry",HINE 112A - Great Stories Hebrew Bible (A),WI11,26,21,90.5 %,90.5 %,3.83,A- (3.84),B+ (3.51)
"Jordan, Ryan P",HIUS 101 - The American Revolution (A),WI10,110,36,85.7 %,80.0 %,4.9,B+ (3.50),B+ (3.51)
"Truant, Cynthia M","HIEU 129 - Paris, Past and Present (A)",SP08,122,82,81.6 %,79.7 %,3.87,B+ (3.48),B+ (3.51)
"Kayali, Hasan",HINE 127 - History of Modern Turkey (A),WI08,55,36,97.2 %,100.0 %,4.94,B+ (3.58),B+ (3.51)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),FA17,388,159,84.3 %,89.9 %,4.2,B+ (3.54),B+ (3.52)
"Graham, Jessica Lynn",HILA 121B - History of Brazil 1889-Present (A),SP17,42,19,93.8 %,100.0 %,4.25,B+ (3.50),B+ (3.52)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),FA15,400,195,78.0 %,87.4 %,5,B+ (3.55),B+ (3.52)
"Kim, Han Sang","HIEA 151 - The Two Koreas, 1945-Prsent (A)",SP15,46,15,71.4 %,64.3 %,4.79,B+ (3.31),B+ (3.52)
"Frolich, Margrit Luise",HIEU 145 - The Holocaust as Public Histry (A),SP15,76,25,87.0 %,82.6 %,5.2,B+ (3.35),B+ (3.52)
"Van Young, Eric",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI12,48,18,94.4 %,83.3 %,5.17,B+ (3.67),B+ (3.52)
"Miano, David Ringo",HIEU 101A - Ancient Greek Civilization (A),WI11,139,77,97.4 %,94.8 %,3.38,B+ (3.69),B+ (3.52)
"Odom, Mychal Matsemelaali",HILD 7A - Race & Ethnicity/United States (A),S116,30,6,100.0 %,100.0 %,4.9,B (3.00),B+ (3.53)
"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP16,69,33,96.9 %,96.9 %,3.08,B+ (3.69),B+ (3.53)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),S215,20,7,100.0 %,100.0 %,7.64,B+ (3.33),B+ (3.53)
"Provence, Michael",HINE 116 - Mid East/Age of Euro Empires (A),WI15,30,10,100.0 %,100.0 %,5.1,B+ (3.67),B+ (3.53)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),SP14,342,136,76.9 %,84.3 %,4.3,B+ (3.57),B+ (3.53)
"Vandevelde, Kenneth Joseph",HIUS 152B - Constitutnl Hist/US after 1865 (A),FA13,38,23,95.7 %,95.7 %,4.15,B+ (3.50),B+ (3.53)
"Hertz, Deborah",HIEU 148 - Women&Gender: Enlght-Vict Era (A),SP13,38,13,75.0 %,66.7 %,2.83,B+ (3.50),B+ (3.53)
"Shafir, Gershon",HMNR 101 - Human Rights II: Contemp Issue (A),SP11,36,14,100.0 %,92.9 %,3.64,N/A,B+ (3.53)
"Meade, Everard",HITO 119 - Human Rights I: Hist. & Theory (A),WI10,56,18,72.2 %,72.2 %,4.94,B+ (3.50),B+ (3.53)
"Pickowicz, Paul G.",HIEA 133 - 20th C China/Cultural History (A),SP08,37,34,100.0 %,100.0 %,7.65,B+ (3.67),B+ (3.53)
"Gonaver, Wendy",HILD 30 - History of Public Health (A),FA17,95,58,92.9 %,94.6 %,3.73,B+ (3.43),B+ (3.54)
"Plant, Rebecca Jo",HIUS 156 - American Women/Amern Womanhood (A),FA17,30,12,100.0 %,100.0 %,4.86,A (4.00),B+ (3.54)
"Provence, Michael",HINE 120 - Middle East in the New Century (A),WI15,46,17,93.8 %,87.5 %,5.3,B+ (3.54),B+ (3.54)
"Petrick, Elizabeth R",HISC 115 - History Modern Medicine (A),WI14,66,20,94.7 %,84.2 %,2.82,A- (3.71),B+ (3.54)
"Hineline, Mark Lawrence",HIUS 154 - Western Environmental History (A),S212,21,6,66.7 %,66.7 %,5.17,B (3.17),B+ (3.54)
"Herbst, Matthew",HIEU 106GS - Constantinople: Imperial Captl (A),S112,25,24,100.0 %,100.0 %,9.33,B+ (3.56),B+ (3.54)
"Miano, David Ringo",HINE 107 - Ancient Egypt:History& Culture (A),WI09,139,86,96.4 %,98.8 %,3.94,B+ (3.68),B+ (3.54)
"Gere, Catherina M.",HISC 116 - History of Bioethics (A),WI08,37,30,100.0 %,100.0 %,3.5,A- (3.81),B+ (3.54)
"Aguilar, Kevan Antonio",HILA 103 - Revolution/Modern Latin Americ (A),S117,21,7,100.0 %,100.0 %,5.83,B+ (3.60),B+ (3.55)
"Klann, Mary Cameron",HILD 2C - United States History (A),S115,24,12,90.9 %,100.0 %,6.5,A- (3.75),B+ (3.55)
"Gutierrez, David G",HILD 7C - Race & Ethnicity/United States (A),S115,43,9,100.0 %,100.0 %,6.25,B (3.25),B+ (3.55)
"Van Young, Eric",HILD 14 - Film & History in Latin Amer (A),SP14,57,21,76.2 %,81.0 %,3.45,B+ (3.64),B+ (3.55)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),S113,24,5,80.0 %,100.0 %,5.3,A (4.00),B+ (3.55)
"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),SP09,56,45,100.0 %,100.0 %,4.88,A- (3.73),B+ (3.55)
"Kayali, Hasan",HINE 127 - History of Modern Turkey (A),WI09,30,20,100.0 %,100.0 %,3.4,B+ (3.68),B+ (3.55)
"Jordan, Ryan P",HIUS 107 - The Early Republic (A),SP08,59,39,100.0 %,100.0 %,3.83,B+ (3.59),B+ (3.55)
"Petkas, Alexander J","HIEU 106 - Egypt, Greece, and Rome (A)",FA17,84,38,77.8 %,86.1 %,5.53,B+ (3.56),B+ (3.56)
"Frolich, Margrit Luise",HIEU 144 - Topics in European History (A),WI16,63,23,81.0 %,76.2 %,4.5,B+ (3.37),B+ (3.56)
"Hertz, Deborah",HIEU 159 - Three Centuries of Zionism (A),SP13,29,10,100.0 %,90.0 %,3.9,B (3.29),B+ (3.56)
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),S211,27,9,88.9 %,88.9 %,6.5,A- (3.89),B+ (3.56)
"Frolich, Margrit Luise",HIEU 143 - Europn Intellct Hst(1870-1945) (A),FA15,43,14,92.9 %,100.0 %,5.07,B+ (3.62),B+ (3.57)
"Wilkinson, Edward C",HIUS 117 - History of Los Angeles (A),FA13,40,12,91.7 %,91.7 %,4.83,A- (3.82),B+ (3.57)
"Jordan, Ryan P",HIUS 132 - Civil War-Recnstrct in PopCult (A),SP09,46,24,95.8 %,91.7 %,5.17,B (3.20),B+ (3.57)
"Jordan, Ryan P",HIUS 132S - Civil War-Recnstrct in PopCult (A),SP09,46,24,95.8 %,91.7 %,5.17,B (3.20),B+ (3.57)
"Meade, Everard",HMNR 100 - Human Rights I: Hist. & Theory (A),WI09,40,20,85.0 %,85.0 %,4.4,N/A,B+ (3.57)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),S117,83,24,91.3 %,90.9 %,5.54,B+ (3.57),B+ (3.58)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP17,47,10,100.0 %,100.0 %,4.3,B+ (3.63),B+ (3.58)
"Hertz, Deborah",HITO 136 - Jews/AfricanAmericans/Slavery (A),SP16,58,39,86.5 %,81.1 %,3.78,B+ (3.62),B+ (3.58)
"Widener, Daniel",HIUS 114 - California History (A),S215,31,6,100.0 %,83.3 %,6.83,A- (3.83),B+ (3.58)
"Harkewicz, Laura J.",HISC 115 - History Modern Medicine (A),WI12,107,55,90.9 %,90.9 %,3.74,B+ (3.62),B+ (3.58)
"Owzar, Armin",HIEU 171 - Topic/Twentieth Century Europe (B),SP10,20,11,100.0 %,100.0 %,3.95,A- (3.73),B+ (3.58)
"Postero, Nancy Grey",HMNR 101 - Human Rights II: Contemp Issue (A),SP10,54,28,92.9 %,100.0 %,6.93,N/A,B+ (3.58)
"Miano, David Ringo",HIEU 101A - Ancient Greek Civilization (A),WI08,142,94,98.9 %,97.8 %,3.19,A- (3.77),B+ (3.58)
"Gutierrez, Laura D",HIUS 113 - History of Mexican America (A),S215,32,12,90.9 %,100.0 %,6.68,B+ (3.50),B+ (3.59)
"Molina, Natalia Margarita",HIUS 126 - History of Race in the U.S. (A),WI14,22,11,100.0 %,100.0 %,6.14,A- (3.75),B+ (3.59)
"Hanna, Mark G.",HILD 2A - United States History (A),FA13,187,101,92.0 %,97.0 %,4.34,B+ (3.52),B+ (3.59)
"Clark, William",HISC 111 - The Atomic Bomb&the Atomic Age (A),S111,21,7,100.0 %,100.0 %,4.79,A- (3.86),B+ (3.59)
"Plant, Rebecca Jo","HIUS 157 - American Women,Womanhood1870-P (A)",SP17,46,11,90.9 %,90.9 %,4.86,B+ (3.56),B+ (3.60)
"Monteon, Michael P.",HILA 114 - Dictatorship in Latin America (A),SP15,32,11,63.6 %,63.6 %,4.1,A- (3.86),B+ (3.60)
"Patterson, Patrick H.",HIEU 152GS - Everyday Life/Dictatorial Soc (A),S112,25,15,93.3 %,93.3 %,13.7,B+ (3.64),B+ (3.61)
"Truant, Cynthia M",HIEU 147 - Women&Gender/Early Mod Europe (A),FA10,88,41,90.2 %,87.8 %,4.74,B+ (3.59),B+ (3.61)
"Frolich, Margrit Luise",HIEU 144 - Topics in European History (A),SP17,49,22,90.9 %,86.4 %,3.86,B+ (3.40),B+ (3.62)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),SP17,352,123,85.5 %,90.6 %,3.58,B+ (3.63),B+ (3.62)
"Frolich, Margrit Luise",HIEU 142 - Euro Intellct Hist: 1780-1870 (A),FA16,54,22,95.2 %,100.0 %,5.9,B+ (3.56),B+ (3.62)
"Pickowicz, Paul G.",HIEA 133 - 20th C China/Cultural History (A),FA09,35,35,100.0 %,100.0 %,9.19,B+ (3.62),B+ (3.62)
"Rosenfeld, Susan Alexandra",HIAF 111 - Modern Africa Since 1880 (A),SP17,27,10,100.0 %,90.0 %,3.1,A- (3.80),B+ (3.63)
"Edelman, Robert S.",HIEU 156 - Hist. Soviet Union 1905-1991 (A),SP16,55,22,76.2 %,76.2 %,4.08,B+ (3.41),B+ (3.63)
"Plant, Rebecca Jo",HIUS 112 - The U.S. Civil War (A),SP16,33,17,100.0 %,100.0 %,4.77,B+ (3.62),B+ (3.63)
"Plant, Rebecca Jo",HIUS 144 - Topics in U.S. History (A),FA14,65,24,100.0 %,100.0 %,5.75,A- (3.74),B+ (3.63)
"Frank, Ross H.",HIUS 108B - History/Native Americans/US II (A),WI13,19,10,70.0 %,80.0 %,5.7,B (3.20),B+ (3.63)
"Graham, Jessica Lynn",HILA 121A - History of Brazil-1808 to 1904 (A),FA12,25,15,100.0 %,100.0 %,3.5,B+ (3.57),B+ (3.63)
"Jordan, Ryan P",HIUS 137 - Slavery/Freedom/U.S.1775-1877 (A),SP10,51,20,100.0 %,100.0 %,5.68,A- (3.76),B+ (3.63)
"Jordan, Ryan P",HIUS 100 - US: Colonial Period to 1763 (A),WI09,34,18,100.0 %,94.4 %,3.94,B+ (3.56),B+ (3.63)
"Man, Simeon S",HIUS 103 - United States & Pacific World (A),SP16,47,43,92.7 %,100.0 %,4.7,B+ (3.33),B+ (3.64)
"Graham, Jessica Lynn",HILA 121A - History of Brazil through 1889 (A),WI17,38,15,100.0 %,100.0 %,4.36,B+ (3.57),B+ (3.65)
"Hertz, Deborah",HIEU 148 - How Women Changed Europe (B),FA16,50,41,75.0 %,82.5 %,3.17,A- (3.83),B+ (3.65)
"McGovern, William Patrick",HITO 126 - A History of Childhood (A),S114,21,8,100.0 %,75.0 %,8.75,B (3.25),B+ (3.65)
"Ahn, Minhwa","HIEA 151 - The Two Koreas, 1945-Prsent (A)",SP17,42,34,81.8 %,54.5 %,5.23,B+ (3.56),B+ (3.66)
"Shafir, Nir",HINE 145 - Islam and Science (A),SP17,32,11,100.0 %,100.0 %,3.7,B+ (3.60),B+ (3.66)
"Man, Simeon S",HIUS 103 - United States & Pacific World (A),SP17,40,31,93.5 %,93.5 %,3.85,B+ (3.46),B+ (3.66)
"Gere, Catherina M.",HISC 116 - History of Bioethics (A),FA15,80,33,100.0 %,96.9 %,3.73,A- (3.77),B+ (3.66)
"Bui, Long T",HIUS 124 - Asian American History (A),S111,20,10,100.0 %,100.0 %,5.1,A- (3.71),B+ (3.66)
"Bui, Long T",HIUS 124 - Asian American History (A),S111,9,7,100.0 %,100.0 %,5.36,A- (3.80),B+ (3.66)
"Gerth, Karl G.",HIEA 140 - China Contemporary World (A),FA14,34,16,100.0 %,85.7 %,7.42,B+ (3.45),B+ (3.67)
"Graham, Jessica Lynn",HILA 121B - History of Brazil 1889-Present (A),SP14,67,18,100.0 %,100.0 %,4.83,A- (3.71),B+ (3.67)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),S213,22,7,100.0 %,100.0 %,4.83,A- (3.75),B+ (3.67)
"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),FA08,48,36,94.1 %,94.3 %,3.56,A- (3.77),B+ (3.67)
"Hillman, Susanne",HIEU 144 - Topics in European History (A),S115,31,28,92.9 %,96.4 %,6.13,A- (3.77),B+ (3.68)
"Frolich, Margrit Luise",HIEU 144 - Topics in European History (A),WI15,65,23,95.2 %,95.2 %,5.07,A- (3.70),B+ (3.68)
"Propp, William Henry",HIEU 140GS - Art&Society in 19th c. London (A),S213,27,22,57.9 %,65.0 %,12.4,B (3.22),B+ (3.68)
"Hillman, Susanne",HIEU 144 - Topics in European History (A),S213,25,4,100.0 %,100.0 %,4,B+ (3.67),B+ (3.68)
"Gonaver, Wendy",HILD 30 - History of Public Health (A),SP17,80,41,86.5 %,86.5 %,3.7,B+ (3.69),B+ (3.69)
"Man, Simeon S",HILD 7B - Race & Ethnicity/United States (A),WI16,293,163,91.8 %,97.5 %,4.2,B+ (3.69),B+ (3.69)
"Frolich, Margrit Luise",HIEU 145 - The Holocaust as Public Histry (A),SP14,43,19,94.7 %,89.5 %,4.62,B+ (3.61),B+ (3.69)
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S112,20,9,100.0 %,100.0 %,6.72,B+ (3.67),B+ (3.69)
"Van Young, Eric",HILA 101 - Lat Amer Independnce 1810-1898 (A),FA12,30,9,88.9 %,88.9 %,6.5,B (3.25),C+ (2.43)
"Nebel, Grant Eugene",HIUS 140 - Economic Hist/United States I (A),FA08,74,48,91.7 %,91.7 %,5.13,B (3.14),C+ (2.46)
"Gallant, Thomas W.",HIEU 116C - Greece/Balkans/20th Century (A),SP14,65,16,100.0 %,100.0 %,4.5,B (3.23),C+ (2.48)
"Lu, Weijing",HIEA 125 - Women & Gender in East Asia (A),FA10,65,34,94.1 %,70.6 %,4.62,B (3.16),C+ (2.48)
"Miano, David Ringo",HIEU 108S - Sex & Romance/ Ancient World (A),S113,23,5,100.0 %,100.0 %,8.5,B (3.25),C+ (2.49)
"Miano, David Ringo",HIEU 108S - Sex & Romance/ Ancient World (A),S114,24,8,83.3 %,100.0 %,4.17,A- (3.83),C+ (2.50)
"Belknap, Michal R",HIUS 150 - American Legal History to 1865 (B),WI11,30,9,77.8 %,77.8 %,4.72,B (3.00),C+ (2.53)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),WI09,32,20,63.2 %,60.0 %,5.1,B (3.18),C+ (2.53)
"Smith, Jomo R",HIEA 132 - Hist/People's Republic/China (A),SP13,48,22,81.0 %,85.7 %,6.4,B- (2.75),C+ (2.55)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),WI10,26,13,84.6 %,61.5 %,5.58,B (3.15),C+ (2.55)
"Wisniewski, Christopher James",HILA 100 - LatAmer-Colonial Transformatns (A),FA10,35,15,53.3 %,33.3 %,8.1,C+ (2.46),C+ (2.56)
"Schneewind, Sarah",HIEA 122 - Late Imperl Chin Cult&Society (A),SP10,36,16,87.5 %,73.3 %,6.75,B- (2.93),C+ (2.57)
"Nebel, Grant Eugene",HIUS 141 - Economic Hist/United States II (A),SP08,87,49,89.8 %,98.0 %,4.38,N/A,C+ (2.57)
"Tanaka, Stefan A.",HIEA 114 - Postwar Japan (A),SP08,116,72,88.6 %,87.1 %,3.27,B (3.13),C+ (2.59)
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),SP14,31,10,66.7 %,66.7 %,6.5,B+ (3.43),C+ (2.61)
"Parrish, Michael E.",HIUS 155B - Religion&Law:Cvl War to Presnt (A),SP11,80,34,85.3 %,88.2 %,5.17,B (3.13),C+ (2.61)
"Hughes, Judith M.",HIEU 136B - Society/Soc Thought 1870-1989 (A),FA07,39,30,93.3 %,90.0 %,4.29,B (3.27),C+ (2.61)
"Van Young, Eric",HILA 113 - Lord&Peasant in Latin America (A),SP13,33,9,77.8 %,77.8 %,6,B- (2.86),C+ (2.63)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),WI12,30,11,81.8 %,81.8 %,7.77,B (3.09),C+ (2.63)
"Tanaka, Stefan A.",HIEA 116 - Japan-US Relations (A),FA08,114,65,74.6 %,81.0 %,4.09,B (3.19),C+ (2.63)
"Belknap, Michal R",HIUS 150 - American Legal History to 1865 (A),WI09,56,27,92.0 %,92.0 %,5.17,B+ (3.42),C+ (2.64)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),WI08,57,33,81.8 %,81.8 %,5.11,B (3.27),C+ (2.64)
"Hughes, Judith M.",HIEU 136B - Society/Soc Thought 1870-1989 (A),SP10,20,8,100.0 %,100.0 %,7,B+ (3.43),C+ (2.65)
"Kwak, Nancy",HIUS 148 - American Cities/20th Century (A),WI09,99,60,81.7 %,84.7 %,4.27,B (3.19),C+ (2.67)
"Parrish, Michael E.",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),WI11,48,15,93.3 %,100.0 %,6.9,B+ (3.47),C+ (2.68)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),SP09,108,60,90.0 %,93.3 %,5.93,B (3.23),C+ (2.68)
"Tanaka, Stefan A.",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),FA07,104,73,91.5 %,91.4 %,4.77,B (3.29),C+ (2.68)
"Oreskes, Naomi",HISC 111 - The Atomic Bomb&the Atomic Age (A),SP13,44,14,100.0 %,100.0 %,5.67,B (3.20),C+ (2.69)
"Tanaka, Stefan A.",HIEA 116 - Japan-US Relations (A),SP11,97,40,72.5 %,65.0 %,5.8,B (3.03),C+ (2.69)
"Lu, Weijing","HILD 11 - East Asia & the West,1279-1911 (A)",WI10,174,75,62.7 %,40.0 %,4.63,B+ (3.37),C+ (2.69)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),FA09,62,49,87.8 %,75.5 %,4.46,B+ (3.47),C+ (2.69)
"Schneewind, Sarah",HILD 10 - The Great Tradition (A),FA08,134,69,72.5 %,69.6 %,5.56,B (3.25),C+ (2.69)
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA11,115,45,68.9 %,88.9 %,7.61,B- (2.97),C+ (2.70)
"Gallant, Thomas W.",HIEU 116A - Greece & the Balkans/1683-1914 (A),SP09,65,39,92.1 %,94.7 %,3.68,B+ (3.53),C+ (2.70)
